GeneID	X0108_DaB18_H_ea_4cell_0.9_r4.CEL	X0108_DaB23_H_ea_Blast_2.5_r4.CEL	X0207_DaB6_H_ea_4cell_r3.CEL	X0207_DaB7_H_ea_Blast1.CEL	X0207_DaB8_H_ea_Blast2.CEL	X0213_SueK.2.10_H_ea_002_8CE.CEL	X0307_DaB1_H_ea_oocyte_r1.CEL	X0307_DaB3_H_ea_oocyte_r3.CEL	X0307_DaB5_H_ea_4cell_r2.CEL	X0713_Suek.3.2_Ep_H_8C_006_11.CEL	X0713_Suek.3.3_Ep_H_8C_004_11.CEL	X1007_DaB21_H_ea_oocyte9856.CEL	X1007_DaB22_H_ea_oocyte9858.CEL	X1007_DaB4_H_ea_4cell_r1.CEL	X1007_DaB9_H_ea_Blast3.CEL
1001	5.4495540612847	5.98828127732986	7.84530129427321	5.52156396179802	5.24803514753812	6.14519915045231	6.34032649183424	10.0862391991657	5.8000324720183	6.34032649183424	5.67271649740751	9.34632501500867	8.58211686674764	10.640386110019	5.57675718499794
10010	3.30057782113776	3.0933029158564	3.60791358220303	3.13233916416134	2.9079303510465	2.98161662067754	3.38231242263492	5.21762008708926	3.35093027292981	4.30976825175244	5.43802314562913	3.21771705706361	3.32899404639358	3.49499568979248	3.49924809446111
100101467	3.99170429258991	3.59957900067216	3.8915399714658	3.80873535150996	4.01317406121091	4.19390376130205	4.4558485938668	4.00987270664999	8.02877983738948	3.12630799548316	3.42205372293189	3.26157165545879	3.86686022679349	3.8028615860056	3.68309353497091
100101938	5.3512311695873	4.19729316909272	5.35479897293876	4.92708630591821	4.69674686187775	5.40235944257177	5.67363765150764	5.45430716625394	5.40397563315877	3.9902500229241	3.85573643721133	4.42325989346124	4.26231591989444	5.26150415764458	4.76673771585366
10011	4.92924180084039	7.09225059327449	6.08469289079011	7.25194949443865	7.36023819171233	4.99173112831583	4.85509474656592	4.66254328255596	4.88209976585657	6.5760206729622	6.46045568122953	5.02544674381602	5.32908017608165	4.1109607951932	6.76453159405852
100113403	5.33907399803189	5.49892476090022	5.79932716366946	5.21613940578328	5.51874159981953	6.36972302400457	5.68246842016874	5.99733923858905	5.68731150368052	6.11241264382796	5.09763771595088	5.30664095499531	5.1833518099817	5.61715841612964	6.21358975882424
100125288	6.04929606306689	4.7327328046278	4.78995803057527	4.66944068123382	4.75454949701939	5.97374674280967	5.64583587004453	5.28480038597216	5.4400740723788	5.86883542540812	5.21338415237448	4.63317748176959	4.84277910957687	5.39948829547464	6.39035920147629
100127888	4.83495227907666	4.21983447647673	6.14883574270816	4.60650180331587	4.8544125868827	5.74579159088788	6.39477268356982	4.95758048067931	5.36676131511573	3.77328698910917	3.829167156652	4.74533393687234	4.59656381925591	4.95379105277551	5.07200391791796
100127983	4.35008726299332	3.97285887099925	4.26798030347698	3.8875515963932	3.87632963578541	4.23294063686084	3.8875515963932	3.8875515963932	4.03892451632176	4.12174006973332	3.22673271047548	3.35425716737684	3.61951591857441	3.94434914539397	3.8875515963932
100128025	3.70018978814467	4.23390257228602	4.42303475433015	4.43949507094717	3.96510635651551	4.15140486115396	4.15140486115396	4.56238953664814	7.47932507356139	3.16410440668768	3.35906955810087	3.53896195088325	3.6014507553876	3.92290673532021	4.11125244265256
100128046	3.6328848720102	3.08509645575567	4.76964220235341	3.34377883322964	3.37556458007389	3.58876693343648	3.4040490498513	3.89062215119941	3.74316471372314	3.14670622942622	2.71344734538017	2.95892733625695	3.11769239336264	3.55500698600158	4.30872113741971
